# The All Sky Automated Survey Data
# gp@astrouw.edu.pl
#
# ################   DESCRIPTION   ###############
# The ASAS Photometric Catalog is maintained separately for each
# observed field, so for some stars independent 'datasets' of
# measurements are available. Their mean magnitudes may slightly differ.
#
# In each 'dataset' (starting with #dataset=0,1,2,...):
# 'desig' is ASAS designation (they may differ (by 1) at the last
# digit of the RA & DEC fields
# 'cra', 'cdec' are initial Catalog coordinates
# 'ndata' is number of points in each dataset
# 'cmag_*',  'cmer_*' are reference magnitude & dispersion for each aperture
# 'nskip_*' is number of data points skipped when calculating 'cmag' & 'cmer'
# 'ra', 'dec', 'mag', 'mer' are coordinates, magnitude and dispersion
# calculated directly from the data
#
# Each data row consists of the following fields:
# -  HJD-2450000
# -  magnitudes (one for each aperture)
# -  frame errors describing average photometric quality of the frame (for each aperture)
# -  frame number
# -  grade :
#    A - best data, no 29.999 (not measured) indication
#    B - mean data, no 29.999 (not measured) indication
#    C - A and B with 29.999 (not measured) indication
#    D - worst data, probably useless
#
# ######### LIGHT CURVE BEGINS NEXT LINE ###########
#ndata= 559
#dataset= 1 ; 1 F1200-64_048
#desig= 115835-6110.0
#cra=   11.976341  11:58:34.8
#cdec= -61.166916 -61:10:00.9
#class= 0
#cmag_0=  9.327
#cmer_0=  0.028
#nskip_0= 37
#cmag_1=  9.336
#cmer_1=  0.027
#nskip_1= 37
#cmag_2=  9.355
#cmer_2=  0.016
#nskip_2= 38
#cmag_3=  9.362
#cmer_3=  0.016
#nskip_3= 38
#cmag_4=  9.382
#cmer_4=  0.016
#nskip_4= 37
#ra=   11.976340  11:58:34.8
#dec= -61.166874 -61:10:00.7
#     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   1887.80336  9.383  9.321  9.339  9.356  9.416    0.071 0.087 0.069 0.064 0.078  D 2816
   1899.84343  9.348  9.297  9.294  9.331  9.377    0.048 0.051 0.048 0.042 0.059  A 3284
   1918.73090  9.377  9.334  9.355  9.360  9.402    0.065 0.074 0.058 0.053 0.078  D 5184
   1919.80673  9.357  9.335  9.369  9.350  9.375    0.056 0.057 0.052 0.046 0.067  A 5376
   1921.75049  9.805  9.738  9.771  9.786  9.833    0.060 0.064 0.055 0.050 0.072  A 5671
   1924.80532  9.394  9.338  9.368  9.377  9.420    0.059 0.060 0.054 0.049 0.070  A 6181
   1925.80292  9.376  9.348  9.320  9.356  9.405    0.052 0.059 0.053 0.047 0.057  A 6348
   1926.79040  9.343  9.326  9.298  9.324  9.366    0.058 0.058 0.052 0.049 0.070  A 6513
   1929.83012  9.348  9.309  9.306  9.336  9.373    0.053 0.053 0.051 0.045 0.062  A 7009
   1930.83833  9.368  9.356  9.372  9.356  9.385    0.051 0.052 0.050 0.043 0.061  A 7179
   1931.83532  9.379  9.339  9.361  9.367  9.403    0.050 0.051 0.050 0.043 0.060  A 7349
   1936.74630  9.362  9.350  9.356  9.349  9.384    0.049 0.051 0.049 0.042 0.059  A 8052
   1938.73320  9.384  9.352  9.363  9.368  9.404    0.050 0.052 0.050 0.044 0.060  A 8290
   1940.74423  9.345  9.312  9.316  9.330  9.368    0.051 0.054 0.051 0.044 0.061  A 8537
   1945.80171  9.364  9.334  9.342  9.356  9.388    0.044 0.047 0.047 0.039 0.051  A 8723
   1947.73239  9.355  9.329  9.312  9.342  9.379    0.053 0.056 0.051 0.045 0.064  A 8952
   1948.75168  9.350  9.328  9.297  9.333  9.371    0.054 0.059 0.054 0.046 0.064  A 9084
   1949.80255  9.643  9.624  9.624  9.628  9.672    0.046 0.052 0.050 0.041 0.054  A 9260
   1950.72628  9.344  9.304  9.306  9.340  9.374    0.047 0.051 0.048 0.041 0.054  A 9404
   1953.73086  9.343  9.340  9.327  9.348  9.370    0.044 0.047 0.047 0.039 0.049  A 9713
   1955.72810  9.348  9.321  9.319  9.332  9.357    0.043 0.048 0.047 0.038 0.048  A 10069
   1958.71900  9.327  9.353  9.340  9.307  9.350    0.047 0.054 0.052 0.042 0.049  A 10238
   1961.71538  9.370  9.361  9.336  9.358  9.378    0.043 0.046 0.046 0.039 0.048  A 10513
   1962.74703  9.363  9.361  9.340  9.349  9.362    0.048 0.053 0.051 0.042 0.050  A 10676
   1963.71497  9.608  9.591  9.611  9.626  9.633    0.049 0.053 0.052 0.043 0.050  A 10844
   1964.71156  9.304  9.315  9.330  9.328  9.335    0.045 0.046 0.047 0.039 0.048  A 11023
   1965.71371  9.368  9.359  9.344  9.351  9.366    0.044 0.047 0.047 0.040 0.047  A 11211
   1967.69717  9.341  9.350  9.381  9.345  9.366    0.047 0.049 0.050 0.041 0.049  A 11556
   1968.70136  9.389  9.334  9.359  9.375  9.391    0.046 0.051 0.049 0.041 0.047  A 11733
   1971.71578  9.374  9.355  9.348  9.339  9.361    0.058 0.059 0.058 0.051 0.062  A 11801
   1977.66676  9.507  9.458  9.504  9.494  9.498    0.052 0.057 0.056 0.047 0.053  A 11965
   1978.70658  9.333  9.352  9.366  9.352  9.330    0.054 0.062 0.059 0.050 0.056  A 12064
   1979.67556  9.312  9.321  9.339  9.334  9.332    0.053 0.062 0.059 0.049 0.054  A 12244
   1980.68108  9.400  9.390  9.405  9.411  9.394    0.052 0.059 0.056 0.047 0.051  A 12394
   1981.68704  9.357  9.391  9.366  9.361  9.365    0.050 0.056 0.055 0.045 0.051  A 12577
   1982.66598  9.351  9.372  9.372  9.385  9.381    0.050 0.053 0.053 0.044 0.050  A 12760
   1984.67802  9.369  9.414  9.425  9.406  9.378    0.050 0.062 0.058 0.046 0.049  A 12981
   1985.66595  9.333  9.376  9.364  9.361  9.351    0.050 0.062 0.059 0.048 0.049  A 13168
   1994.65275  9.415  9.447  9.421  9.412  9.429    0.066 0.085 0.077 0.063 0.068  D 13454
   2093.53581  9.352  9.250  9.327  9.338  9.366    0.063 0.064 0.056 0.053 0.076  A 24670
   2441.49243  9.350  9.297  9.318  9.337  9.371    0.044 0.046 0.047 0.040 0.051  A 8218
   2443.48807  9.861  9.858  9.831  9.845  9.880    0.044 0.048 0.052 0.039 0.050  A 8608
   2445.49915  9.352  9.305  9.313  9.339  9.375    0.047 0.050 0.049 0.041 0.054  A 9033
   2453.45910  9.359  9.370  9.370  9.373  9.371    0.049 0.053 0.053 0.045 0.050  A 9555
   2456.46907  9.335  9.332  9.322  9.333  9.349    0.056 0.054 0.053 0.051 0.060  A 10004
   2460.46060  9.375  9.360  9.368  9.372  9.390    0.163 0.147 0.149 0.153 0.181  D 10180
   2463.49788  9.353  9.295  9.328  9.340  9.376    0.049 0.059 0.050 0.043 0.059  A 10559
   2465.51642  9.350  9.307  9.334  9.338  9.370    0.045 0.049 0.054 0.044 0.049  A 11006
   2467.50856  9.389  9.375  9.327  9.367  9.414    0.048 0.053 0.050 0.042 0.056  A 11440
   2469.50655  9.368  9.345  9.325  9.354  9.395    0.049 0.061 0.058 0.047 0.055  A 11873
   2473.47276  9.331  9.332  9.291  9.326  9.356    0.045 0.047 0.052 0.043 0.048  A 12612
   2482.52557  9.350  9.382  9.365  9.373  9.369    0.053 0.062 0.058 0.049 0.051  A 13109
   2489.47306  9.357  9.356  9.337  9.350  9.379    0.047 0.047 0.048 0.042 0.050  A 13777
   2495.47960  9.457  9.429  9.418  9.430  9.445    0.051 0.056 0.051 0.046 0.049  A 14734
   2502.48704  9.460  9.474  9.450  9.440  9.456    0.050 0.057 0.055 0.047 0.050  A 16156
   2503.50558  9.322  9.359  9.350  9.349  9.339    0.053 0.060 0.057 0.049 0.052  A 16368
   2508.48361  9.334  9.336  9.292  9.327  9.361    0.046 0.047 0.046 0.040 0.054  A 16728
   2512.48236  9.375  9.334  9.373  9.361  9.390    0.046 0.050 0.051 0.042 0.049  A 17193
   2622.78919  9.379  9.327  9.349  9.363  9.403    0.060 0.059 0.053 0.050 0.072  A 30032
   2624.83808  9.378  9.328  9.356  9.370  9.394    0.056 0.056 0.052 0.048 0.067  A 30338
   2628.79816  9.362  9.282  9.315  9.335  9.387    0.049 0.065 0.053 0.045 0.052  A 30790
   2634.85040 10.023  9.982  9.987 10.007 10.049    0.059 0.060 0.053 0.048 0.070  A 32170
   2637.82901  9.378  9.361  9.339  9.357  9.402    0.055 0.059 0.050 0.046 0.066  A 32602
   2641.79376  9.988  9.925  9.971  9.964 10.010    0.055 0.058 0.052 0.046 0.067  A 33178
   2644.81750  9.369  9.325  9.332  9.354  9.389    0.057 0.061 0.053 0.047 0.068  A 33649
   2651.79264  9.349  9.352  9.317  9.324  9.375    0.057 0.056 0.053 0.051 0.065  A 34503
   2657.76808  9.353  9.287  9.366  9.372  9.351    0.055 0.052 0.052 0.048 0.061  A 35483
   2659.79730  9.340  9.308  9.324  9.336  9.354    0.062 0.057 0.056 0.053 0.072  A 35836
   2661.81450  9.340  9.275  9.314  9.327  9.345    0.058 0.054 0.053 0.049 0.069  A 36187
   2663.80975  9.324  9.287  9.286  9.315  9.342    0.058 0.054 0.054 0.049 0.068  A 36524
   2665.81555  9.333  9.337  9.319  9.335  9.349    0.070 0.059 0.060 0.058 0.082  A 36875
   2667.83116  9.372  9.363  9.345  9.366  9.397    0.052 0.060 0.050 0.045 0.061  A 37188
   2670.77713  9.317  9.315  9.283  9.308  9.333    0.056 0.054 0.052 0.047 0.065  A 37650
   2672.82832  9.398  9.304  9.369  9.386  9.401    0.058 0.058 0.052 0.048 0.068  A 38007
   2674.81555  9.354  9.344  9.335  9.343  9.372    0.058 0.055 0.051 0.048 0.068  A 38345
   2676.77178  9.483  9.486  9.442  9.478  9.500    0.063 0.057 0.056 0.053 0.075  A 38692
   2678.76513  9.320  9.314  9.296  9.311  9.332    0.061 0.057 0.055 0.051 0.073  A 39030
   2680.75841  9.355  9.318  9.318  9.343  9.365    0.062 0.055 0.053 0.052 0.072  A 39357
   2684.70769  9.381  9.311  9.369  9.378  9.383    0.059 0.055 0.054 0.049 0.069  A 40024
   2686.73188  9.383  9.352  9.357  9.372  9.398    0.062 0.057 0.053 0.052 0.074  A 40401
   2688.73860  9.367  9.356  9.343  9.358  9.379    0.062 0.057 0.056 0.052 0.071  A 40768
   2690.73862  9.396  9.375  9.363  9.376  9.407    0.058 0.058 0.051 0.050 0.069  A 41136
   2692.79808  9.307  9.333  9.272  9.286  9.327    0.064 0.059 0.057 0.055 0.075  A 41478
   2696.76335  9.384  9.303  9.368  9.385  9.390    0.056 0.058 0.053 0.049 0.065  A 42143
   2698.79939  9.660  9.888  9.792  9.693  9.633    0.063 0.058 0.054 0.054 0.074  A 42577
   2704.73796  9.384  9.336  9.346  9.369  9.414    0.061 0.064 0.057 0.052 0.071  A 43704
   2706.70996  9.309  9.308  9.308  9.303  9.327    0.060 0.057 0.054 0.051 0.069  A 44062
   2712.65801  9.362  9.311  9.326  9.363  9.370    0.062 0.059 0.057 0.054 0.066  A 45132
   2714.65237  9.452  9.416  9.397  9.434  9.478    0.055 0.061 0.052 0.047 0.066  A 45520
   2717.66678  9.346  9.315  9.317  9.340  9.363    0.062 0.056 0.055 0.052 0.071  A 45868
   2719.75128  9.393  9.317  9.347  9.375  9.403    0.051 0.053 0.049 0.046 0.054  A 46145
   2721.69520  9.657  9.659  9.627  9.655  9.676    0.066 0.064 0.059 0.058 0.073  A 46508
   2722.81362  9.363  9.282  9.331  9.356  9.381    0.058 0.061 0.053 0.051 0.067  A 46751
   2724.70490  9.345  9.343  9.303  9.336  9.376    0.061 0.057 0.054 0.052 0.068  A 47090
   2725.86195  9.376  9.329  9.354  9.371  9.392    0.062 0.061 0.054 0.052 0.074  A 47359
   2727.70937  9.328  9.312  9.282  9.318  9.355    0.065 0.059 0.058 0.053 0.076  A 47684
   2733.70990  9.350  9.334  9.307  9.338  9.370    0.054 0.054 0.052 0.047 0.062  A 48651
   2734.77909  9.349  9.278  9.309  9.331  9.370    0.057 0.063 0.054 0.049 0.068  A 48885
   2736.64391  9.337  9.275  9.319  9.326  9.338    0.064 0.057 0.056 0.052 0.077  A 49217
   2738.62352  9.337  9.344  9.300  9.314  9.358    0.061 0.056 0.057 0.052 0.069  A 49595
   2739.81339  9.367  9.302  9.322  9.341  9.390    0.058 0.062 0.052 0.049 0.071  A 49833
